route_id,trip_id,trip_headsign,service_id,direction_id,shape_id,wheelchair_accessible,bikes_allowed
4,27154508,"Grenoble, Victor Hugo",12345-MEHLV13_ST8_13_HI2223-MEHLV22_ST8_22_HI2223-MEHW13_ST11_13_HI2223-MEHW17_ST11_17_HI2223,1,SEM_C4_2,1,2
59,27596858,"Saint-Martin-d'Uriage, La Ronzière",12345-MFVLV05c_ST21_5_HI2223-MFVLV07c_ST21_7_HI2223,0,SEM_59_1,1,2
23,27137696,"Vizille, Le Péage",1234567-MFHD06_ST6_6_HI2223-MFHD07_ST6_7_HI2223,0,SEM_23_1,1,2
12,26980301,"Saint-Martin-d'Hères, Les Alloves",12345-MEILV06_ST21_6_HI2223-MEILV07_ST21_7_HI2223-MEILV08_ST21_8_HI2223,1,SEM_12_1,1,2
60,27675096,"Proveysieux, Planfay Haut",1234567-MFHS10_ST5_10_HI2223,1,SEM_60_2,1,2
C,27257934,"Seyssins, Le Prisme",1234567-MGHS06_ST5_6_HI2223-MGHS08_ST5_8_HI2223,1,SEM_C_2,1,2
16,27503334,"Le Pont-de-Claix, Gendarmerie",12345-MSILV07_ST21_7_HI2223,1,SEM_16_2,1,2
A,27638717,"Fontaine, La Poya",12345-MEHLV22_ST8_22_HI2223-MEHW17_ST11_17_HI2223,1,SEM_A_4,1,2
7,27535164,"Gières, Universités - IUT - UFRAPS",12345-MSILV07_ST21_7_HI2223,0,SEM_C7_1,1,2
14,27373279,"Gières, Gières Gare - Universités",1234567-MAHS07_ST5_7_HI2223,1,SEM_14_2,1,2
D,27043868,"Saint-Martin-d'Hères, Etienne Grappe",12345-MGHLV17_ST0_17_HI2223-MGHLV33_ST0_33_HI2223,1,SEM_D_3,1,2
C,27677363,"Saint-Martin-d'Hères, Condillac - Universités",12345-MGHLV39_ST0_39_HI2223,0,SEM_C_1,1,2
1,27502921,"Meylan, Maupertuis",12345-MSILV07_ST21_7_HI2223,0,SEM_C1_2,1,2
15,27430413,"Domène, Les Arnauds",12345-MAVLV05_ST21_5_HI2223,0,SEM_15_6,1,2
E,27167883,"Fontanil-Cornillon, Palluel",12345-MGHLV32_ST0_32_HI2223-MGHLV33_ST0_33_HI2223-MGHLV35_ST0_35_HI2223,1,SEM_E_1,1,2
5,27503196,"Grenoble, Palais de Justice - Gare",12345-MSILV07_ST21_7_HI2223,0,SEM_C5_1,1,2
13,26972811,"Poisat, Cimetière Intercommunal",1234567-MEHS10_ST5_10_HI2223-MEHS12_ST5_12_HI2223,0,SEM_13_1,1,2
65,27675100,"Grenoble, Grand'place",1234567-MFHS10_ST5_10_HI2223,1,,1,2
C,27150814,"Saint-Martin-d'Hères, Condillac - Universités",12345-MGHLV17_ST0_17_HI2223-MGHLV33_ST0_33_HI2223,0,SEM_C_1,1,2
25,26918257,"Le Gua, Les Saillants",1234567-MAHS07_ST5_7_HI2223,0,SEM_25_1,1,2
21,27366107,"Claix, Pont Rouge",1234567-MSHDF06_ST6_6_HI2223-MSHDF08_ST6_8_HI2223,0,SEM_21_1,1,2
A,27593782,"Le Pont-de-Claix, L'Etoile",12345-MEILV08_ST21_8_HI2223,0,SEM_A_3,1,2
25,26917997,"Grenoble, Colonel Dumont",1234567-MAHD06_ST6_6_HI2223,1,SEM_25_2,1,2
C,27606701,"Seyssins, Le Prisme",12345-MGHLV35_ST0_35_HI2223,1,SEM_C_2,1,2
E,27574202,"Grenoble, Louise Michel",12345-MGHLV39_ST0_39_HI2223,0,SEM_E_2,1,2
21,27367905,"Seyssins, Le Prisme",12345-MSHLVH05_ST8_5_HI2223-MSHLVH12_ST8_12_HI2223-MSHLW12_ST11_12_HI2223,1,SEM_21_2,1,2
C,27272485,"Seyssins, Le Prisme",12345-MGHLV32_ST0_32_HI2223-MGHLV37_ST0_37_HI2223,1,SEM_C_2,1,2
D,27538114,"Saint-Martin-d'Hères, Etienne Grappe",12345-MGHLV39_ST0_39_HI2223,1,SEM_D_2,1,2
56,27259157,"Grenoble, Casamaures - Village",1234567-MFHS09_ST5_9_HI2223-MFHS10_ST5_10_HI2223,0,SEM_56_2,1,2
6,27534757,"Saint-Martin-d'Hères, Henri Wallon",12345-MSILV07_ST21_7_HI2223,1,SEM_C6_1,1,2
2,27583084,"Grenoble, Louise Michel",12345-MEILV08_ST21_8_HI2223,1,SEM_C2_1,1,2
C,27257874,"Saint-Martin-d'Hères, Condillac - Universités",1234567-MGHS06_ST5_6_HI2223-MGHS08_ST5_8_HI2223,0,SEM_C_1,1,2
C,27150751,"Gières, Plaine des Sports",12345-MGHLV17_ST0_17_HI2223-MGHLV33_ST0_33_HI2223,0,SEM_C_1,1,2
